"Kod";"Nazwa";"wypadki ogółem;1999;[szt.]";"wypadki ogółem;2000;[szt.]";"wypadki ogółem;2001;[szt.]";"wypadki ogółem;2002;[szt.]";"wypadki ogółem;2003;[szt.]";"wypadki ogółem;2004;[szt.]";"wypadki ogółem;2005;[szt.]";"wypadki ogółem;2006;[szt.]";"wypadki ogółem;2007;[szt.]";"wypadki ogółem;2008;[szt.]";"wypadki ogółem;2009;[szt.]";"wypadki ogółem;2010;[szt.]";"wypadki ogółem;2011;[szt.]";"wypadki ogółem;2012;[szt.]";"wypadki ogółem;2013;[szt.]";"wypadki ogółem;2014;[szt.]";"wypadki ogółem;2015;[szt.]";"wypadki ogółem;2016;[szt.]";"wypadki ogółem;2017;[szt.]";"wypadki ogółem;2018;[szt.]";"wypadki ogółem;2019;[szt.]";"wypadki ogółem;2020;[szt.]";"wypadki ogółem;2021;[szt.]";"wypadki ogółem;2022;[szt.]";"wypadki ogółem;2023;[szt.]";"wypadki ogółem;2024;[szt.]";
0616043;"Ryki (3)";;;;;;;;;;;;;;;;;;;;;;;;;17;7;
0616052;"Stężyca (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;3;
0616062;"Ułęż (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;4;
0617000;"Powiat świdnicki";;;;;;;;;;;;;42;31;34;34;33;35;21;28;24;26;25;26;30;31;
0617011;"Świdnik (1)";;;;;;;;;;;;;;;;;;;;;;;;;17;10;
0617022;"Mełgiew (2)";;;;;;;;;;;;;;;;;;;;;;;;;5;4;
0617033;"Piaski (3)";;;;;;;;;;;;;;;;;;;;;;;;;6;10;
0617052;"Trawniki (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;7;
0618000;"Powiat tomaszowski";;;;;;;;;;;;;116;90;71;62;48;46;49;40;36;24;26;29;30;30;
0618011;"Tomaszów Lubelski (1)";;;;;;;;;;;;;;;;;;;;;;;;;7;6;
0618022;"Bełżec (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;2;
0618032;"Jarczów (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;2;
0618042;"Krynice (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;2;
0618063;"Łaszczów (3)";;;;;;;;;;;;;;;;;;;;;;;;;3;0;
0618072;"Rachanie (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;3;
0618082;"Susiec (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;2;
0618092;"Tarnawatka (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;2;
0618102;"Telatyn (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;2;
0618112;"Tomaszów Lubelski (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;7;
0618123;"Tyszowce (3)";;;;;;;;;;;;;;;;;;;;;;;;;1;1;
0618132;"Ulhówek (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;1;
0619000;"Powiat włodawski";;;;;;;;;;;;;30;31;31;13;19;19;23;23;15;15;15;15;14;17;
0619011;"Włodawa (1)";;;;;;;;;;;;;;;;;;;;;;;;;4;6;
0619032;"Hańsk (2)";;;;;;;;;;;;;;;;;;;;;;;;;0;1;
0619042;"Stary Brus (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;1;
0619052;"Urszulin (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;2;
0619062;"Włodawa (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;4;
0619072;"Wola Uhruska (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;1;
0619082;"Wyryki (2)";;;;;;;;;;;;;;;;;;;;;;;;;0;2;
0620000;"Powiat zamojski";;;;;;;;;;;;;86;74;55;53;56;47;57;53;57;41;50;34;38;38;
0620012;"Adamów (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;2;
0620022;"Grabowiec (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;0;
0620032;"Komarów-Osada (2)";;;;;;;;;;;;;;;;;;;;;;;;;0;2;
0620043;"Krasnobród (3)";;;;;;;;;;;;;;;;;;;;;;;;;6;2;
0620052;"Łabunie (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;0;
0620062;"Miączyn (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;2;
0620072;"Nielisz (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;1;
0620082;"Radecznica (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;1;
0620092;"Sitno (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;2;
0620102;"Skierbieszów (2)";;;;;;;;;;;;;;;;;;;;;;;;;0;1;
0620112;"Stary Zamość (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;2;
0620122;"Sułów (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;1;
0620133;"Szczebrzeszyn (3)";;;;;;;;;;;;;;;;;;;;;;;;;2;6;
0620142;"Zamość (2)";;;;;;;;;;;;;;;;;;;;;;;;;9;13;
0620153;"Zwierzyniec (3)";;;;;;;;;;;;;;;;;;;;;;;;;1;3;
0661000;"Powiat m. Biała Podlaska";;;;;;;;;;;;;39;36;30;21;16;25;29;30;32;27;22;27;25;24;
0661011;"Biała Podlaska (1)";;;;;;;;;;;;;;;;;;;;;;;;;25;24;
0662000;"Powiat m. Chełm";;;;;;;;;;;;;36;28;21;27;29;18;25;22;20;23;19;26;26;23;
0662011;"Chełm (1)";;;;;;;;;;;;;;;;;;;;;;;;;26;23;
0663000;"Powiat m. Lublin";;;;;;;;;;;;;245;256;229;224;199;221;212;211;147;143;137;109;135;135;
0663011;"Lublin (1)";;;;;;;;;;;;;;;;;;;;;;;;;135;135;
0664000;"Powiat m. Zamość";;;;;;;;;;;;;46;36;20;29;30;26;24;18;19;26;15;22;16;22;
0664011;"Zamość (1)";;;;;;;;;;;;;;;;;;;;;;;;;16;22;
0800000;"LUBUSKIE";;950;801;799;788;847;860;835;908;906;992;845;823;803;747;717;639;684;682;663;660;607;540;499;443;462;
0801000;"Powiat gorzowski";;;;;;;;;;;;;73;60;63;52;29;43;44;39;44;36;34;37;24;41;
0801011;"Kostrzyn nad Odrą (1)";;;;;;;;;;;;;;;;;;;;;;;;;7;10;
0801022;"Bogdaniec (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;3;
0801032;"Deszczno (2)";;;;;;;;;;;;;;;;;;;;;;;;;5;5;
0801042;"Kłodawa (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;6;
0801052;"Lubiszyn (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;8;
0801062;"Santok (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;4;
0801073;"Witnica (3)";;;;;;;;;;;;;;;;;;;;;;;;;3;5;
0802000;"Powiat krośnieński";;;;;;;;;;;;;37;40;31;32;25;47;29;26;47;42;26;40;38;41;
0802011;"Gubin (1)";;;;;;;;;;;;;;;;;;;;;;;;;10;12;
0802022;"Bobrowice (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;1;
0802032;"Bytnica (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;0;
0802042;"Dąbie (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;6;
0802052;"Gubin (2)";;;;;;;;;;;;;;;;;;;;;;;;;9;9;
0802063;"Krosno Odrzańskie (3)";;;;;;;;;;;;;;;;;;;;;;;;;11;9;
0802072;"Maszewo (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;4;
0803000;"Powiat międzyrzecki";;;;;;;;;;;;;62;65;49;62;48;59;59;57;55;50;50;50;38;47;
0803012;"Bledzew (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;7;
0803023;"Międzyrzecz (3)";;;;;;;;;;;;;;;;;;;;;;;;;15;20;
0803032;"Przytoczna (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;6;
0803042;"Pszczew (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;3;
0803053;"Skwierzyna (3)";;;;;;;;;;;;;;;;;;;;;;;;;9;7;
0803063;"Trzciel (3)";;;;;;;;;;;;;;;;;;;;;;;;;6;4;
0804000;"Powiat nowosolski";;;;;;;;;;;;;66;53;69;50;56;52;53;75;64;60;46;33;41;50;
0804011;"Nowa Sól (1)";;;;;;;;;;;;;;;;;;;;;;;;;11;20;
0804023;"Bytom Odrzański (3)";;;;;;;;;;;;;;;;;;;;;;;;;1;4;
0804032;"Kolsko (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;4;
0804043;"Kożuchów (3)";;;;;;;;;;;;;;;;;;;;;;;;;9;6;
0804052;"Nowa Sól (2)";;;;;;;;;;;;;;;;;;;;;;;;;11;9;
0804063;"Nowe Miasteczko (3)";;;;;;;;;;;;;;;;;;;;;;;;;5;5;
0804073;"Otyń (3)";;;;;;;;;;;;;;;;;;;;;;;;;2;1;
0804082;"Siedlisko (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;1;
0805000;"Powiat słubicki";;;;;;;;;;;;;58;51;50;42;40;39;40;44;44;40;34;22;16;24;
0805013;"Cybinka (3)";;;;;;;;;;;;;;;;;;;;;;;;;3;2;
0805022;"Górzyca (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;4;
0805033;"Ośno Lubuskie (3)";;;;;;;;;;;;;;;;;;;;;;;;;2;2;
0805043;"Rzepin (3)";;;;;;;;;;;;;;;;;;;;;;;;;2;6;
0805053;"Słubice (3)";;;;;;;;;;;;;;;;;;;;;;;;;7;10;
0806000;"Powiat strzelecko-drezdenecki";;;;;;;;;;;;;33;44;32;31;37;43;42;41;37;39;26;36;28;29;
0806013;"Dobiegniew (3)";;;;;;;;;;;;;;;;;;;;;;;;;4;0;
0806023;"Drezdenko (3)";;;;;;;;;;;;;;;;;;;;;;;;;7;14;
0806032;"Stare Kurowo (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;4;
0806043;"Strzelce Krajeńskie (3)";;;;;;;;;;;;;;;;;;;;;;;;;9;9;
0806052;"Zwierzyn (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;2;
0807000;"Powiat sulęciński";;;;;;;;;;;;;56;49;39;44;37;34;30;29;31;30;22;17;17;16;
0807012;"Krzeszyce (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;3;
0807023;"Lubniewice (3)";;;;;;;;;;;;;;;;;;;;;;;;;0;3;
0807032;"Słońsk (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;0;
0807043;"Sulęcin (3)";;;;;;;;;;;;;;;;;;;;;;;;;5;5;
0807053;"Torzym (3)";;;;;;;;;;;;;;;;;;;;;;;;;8;5;
0808000;"Powiat świebodziński";;;;;;;;;;;;;59;57;50;39;30;52;65;51;69;59;56;43;35;32;
0808012;"Lubrza (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;3;
0808022;"Łagów (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;1;
0808032;"Skąpe (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;4;
0808042;"Szczaniec (2)";;;;;;;;;;;;;;;;;;;;;;;;;5;3;
0808053;"Świebodzin (3)";;;;;;;;;;;;;;;;;;;;;;;;;20;20;
0808063;"Zbąszynek (3)";;;;;;;;;;;;;;;;;;;;;;;;;1;1;
0809000;"Powiat zielonogórski";;;;;;;;;;;;;82;77;75;93;65;53;48;50;52;54;41;31;34;36;
0809013;"Babimost (3)";;;;;;;;;;;;;;;;;;;;;;;;;2;3;
0809022;"Bojadła (2)";;;;;;;;;;;;;;;;;;;;;;;;;0;1;
0809033;"Czerwieńsk (3)";;;;;;;;;;;;;;;;;;;;;;;;;4;3;
0809043;"Kargowa (3)";;;;;;;;;;;;;;;;;;;;;;;;;3;4;
0809053;"Nowogród Bobrzański (3)";;;;;;;;;;;;;;;;;;;;;;;;;4;4;
0809063;"Sulechów (3)";;;;;;;;;;;;;;;;;;;;;;;;;13;17;
0809072;"Świdnica (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;2;
0809082;"Trzebiechów (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;0;
0809092;"Zabór (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;2;
0810000;"Powiat żagański";;;;;;;;;;;;;61;52;51;54;43;49;52;60;35;48;48;39;37;34;
0810011;"Gozdnica (1)";;;;;;;;;;;;;;;;;;;;;;;;;1;0;
0810021;"Żagań (1)";;;;;;;;;;;;;;;;;;;;;;;;;6;4;
0810032;"Brzeźnica (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;2;
0810043;"Iłowa (3)";;;;;;;;;;;;;;;;;;;;;;;;;1;5;
0810053;"Małomice (3)";;;;;;;;;;;;;;;;;;;;;;;;;4;1;
0810062;"Niegosławice (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;5;
0810073;"Szprotawa (3)";;;;;;;;;;;;;;;;;;;;;;;;;12;12;
0810082;"Wymiarki (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;2;
0810092;"Żagań (2)";;;;;;;;;;;;;;;;;;;;;;;;;5;3;
0811000;"Powiat żarski";;;;;;;;;;;;;67;59;62;70;67;50;54;70;66;33;38;45;44;38;
0811011;"Łęknica (1)";;;;;;;;;;;;;;;;;;;;;;;;;1;0;
0811021;"Żary (1)";;;;;;;;;;;;;;;;;;;;;;;;;13;8;
0811032;"Brody (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;;
0811033;"Brody (3)";;;;;;;;;;;;;;;;;;;;;;;;;;1;
0811043;"Jasień (3)";;;;;;;;;;;;;;;;;;;;;;;;;2;3;
0811052;"Lipinki Łużyckie (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;2;
0811063;"Lubsko (3)";;;;;;;;;;;;;;;;;;;;;;;;;3;4;
0811072;"Przewóz (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;4;
0811082;"Trzebiel (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;7;
0811092;"Tuplice (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;1;
0811102;"Żary (2)";;;;;;;;;;;;;;;;;;;;;;;;;13;8;
0812000;"Powiat wschowski";;;;;;;;;;;;;14;14;22;10;17;18;16;20;13;24;19;17;18;9;
0812013;"Sława (3)";;;;;;;;;;;;;;;;;;;;;;;;;6;6;
0812023;"Szlichtyngowa (3)";;;;;;;;;;;;;;;;;;;;;;;;;4;1;
0812033;"Wschowa (3)";;;;;;;;;;;;;;;;;;;;;;;;;8;2;
0861000;"Powiat m. Gorzów Wielkopolski";;;;;;;;;;;;;101;102;90;66;51;63;56;47;39;41;41;36;30;24;
0861011;"Gorzów Wielkopolski (1)";;;;;;;;;;;;;;;;;;;;;;;;;30;24;
0862000;"Powiat m. Zielona Góra";;;;;;;;;;;;;54;80;64;72;94;82;94;54;64;51;59;53;43;41;
0862011;"Zielona Góra (1)";;;;;;;;;;;;;;;;;;;;;;;;;43;41;
1000000;"ŁÓDZKIE";;4712;4814;4631;4628;4826;4753;4554;4847;4773;4709;4157;4270;3905;3830;3986;3991;4222;3787;3759;3351;2436;2306;2209;2127;2234;
1001000;"Powiat bełchatowski";;;;;;;;;;;;;187;169;166;209;159;191;158;171;146;94;84;69;64;79;
1001011;"Bełchatów (1)";;;;;;;;;;;;;;;;;;;;;;;;;26;42;
1001022;"Bełchatów (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;7;
1001032;"Drużbice (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;5;
1001042;"Kleszczów (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;7;
1001052;"Kluki (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;2;
1001062;"Rusiec (2)";;;;;;;;;;;;;;;;;;;;;;;;;6;2;
1001072;"Szczerców (2)";;;;;;;;;;;;;;;;;;;;;;;;;7;11;
1001083;"Zelów (3)";;;;;;;;;;;;;;;;;;;;;;;;;14;3;
1002000;"Powiat kutnowski";;;;;;;;;;;;;205;184;189;164;179;215;195;212;189;180;138;128;89;119;
1002011;"Kutno (1)";;;;;;;;;;;;;;;;;;;;;;;;;38;48;
1002022;"Bedlno (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;5;
1002033;"Dąbrowice (3)";;;;;;;;;;;;;;;;;;;;;;;;;1;2;
1002043;"Krośniewice (3)";;;;;;;;;;;;;;;;;;;;;;;;;5;8;
1002052;"Krzyżanów (2)";;;;;;;;;;;;;;;;;;;;;;;;;9;16;
1002062;"Kutno (2)";;;;;;;;;;;;;;;;;;;;;;;;;11;8;
1002072;"Łanięta (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;3;
1002082;"Nowe Ostrowy (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;6;
1002092;"Oporów (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;3;
1002102;"Strzelce (2)";;;;;;;;;;;;;;;;;;;;;;;;;6;10;
1002113;"Żychlin (3)";;;;;;;;;;;;;;;;;;;;;;;;;8;10;
1003000;"Powiat łaski";;;;;;;;;;;;;89;70;69;82;60;51;31;47;42;33;35;27;35;25;
1003012;"Buczek (2)";;;;;;;;;;;;;;;;;;;;;;;;;5;4;
1003023;"Łask (3)";;;;;;;;;;;;;;;;;;;;;;;;;17;14;
1003032;"Sędziejowice (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;2;
1003042;"Widawa (2)";;;;;;;;;;;;;;;;;;;;;;;;;8;4;
1003052;"Wodzierady (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;1;
1004000;"Powiat łęczycki";;;;;;;;;;;;;61;65;58;55;53;62;52;53;36;41;33;28;23;25;
1004011;"Łęczyca (1)";;;;;;;;;;;;;;;;;;;;;;;;;3;5;
1004022;"Daszyna (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;2;
1004032;"Góra Świętej Małgorzaty (2)";;;;;;;;;;;;;;;;;;;;;;;;;6;3;
1004042;"Grabów (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;;
1004043;"Grabów (3)";;;;;;;;;;;;;;;;;;;;;;;;;;2;
1004052;"Łęczyca (2)";;;;;;;;;;;;;;;;;;;;;;;;;5;6;
1004063;"Piątek (3)";;;;;;;;;;;;;;;;;;;;;;;;;1;1;
1004072;"Świnice Warckie (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;5;
1004082;"Witonia (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;1;
1005000;"Powiat łowicki";;;;;;;;;;;;;87;69;74;70;70;81;77;61;58;34;48;57;62;63;
1005011;"Łowicz (1)";;;;;;;;;;;;;;;;;;;;;;;;;19;20;
1005022;"Bielawy (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;1;
1005032;"Chąśno (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;4;
1005042;"Domaniewice (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;1;
1005052;"Kiernozia (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;;
1005053;"Kiernozia (3)";;;;;;;;;;;;;;;;;;;;;;;;;;1;
1005062;"Kocierzew Południowy (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;2;
1005072;"Łowicz (2)";;;;;;;;;;;;;;;;;;;;;;;;;8;10;
1005082;"Łyszkowice (2)";;;;;;;;;;;;;;;;;;;;;;;;;8;10;
1005092;"Nieborów (2)";;;;;;;;;;;;;;;;;;;;;;;;;14;14;
1005102;"Zduny (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;0;
1006000;"Powiat łódzki wschodni";;;;;;;;;;;;;71;86;98;107;115;128;126;97;99;57;82;61;70;72;
1006022;"Andrespol (2)";;;;;;;;;;;;;;;;;;;;;;;;;12;10;
1006032;"Brójce (2)";;;;;;;;;;;;;;;;;;;;;;;;;5;8;
1006073;"Koluszki (3)";;;;;;;;;;;;;;;;;;;;;;;;;10;22;
1006082;"Nowosolna (2)";;;;;;;;;;;;;;;;;;;;;;;;;8;5;
1006103;"Rzgów (3)";;;;;;;;;;;;;;;;;;;;;;;;;18;12;
1006113;"Tuszyn (3)";;;;;;;;;;;;;;;;;;;;;;;;;17;15;
1007000;"Powiat opoczyński";;;;;;;;;;;;;93;88;89;73;74;79;74;86;81;68;51;44;45;45;
1007012;"Białaczów (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;;
1007013;"Białaczów (3)";;;;;;;;;;;;;;;;;;;;;;;;;;1;
1007023;"Drzewica (3)";;;;;;;;;;;;;;;;;;;;;;;;;5;2;
1007032;"Mniszków (2)";;;;;;;;;;;;;;;;;;;;;;;;;5;6;
1007043;"Opoczno (3)";;;;;;;;;;;;;;;;;;;;;;;;;17;22;
1007052;"Paradyż (2)";;;;;;;;;;;;;;;;;;;;;;;;;5;7;
1007062;"Poświętne (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;2;
1007072;"Sławno (2)";;;;;;;;;;;;;;;;;;;;;;;;;7;2;
1007082;"Żarnów (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;;
1007083;"Żarnów (3)";;;;;;;;;;;;;;;;;;;;;;;;;;3;
1008000;"Powiat pabianicki";;;;;;;;;;;;;144;125;124;134;122;145;112;75;56;57;55;56;43;51;
1008011;"Konstantynów Łódzki (1)";;;;;;;;;;;;;;;;;;;;;;;;;6;10;
1008021;"Pabianice (1)";;;;;;;;;;;;;;;;;;;;;;;;;24;25;
1008032;"Dłutów (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;1;
1008042;"Dobroń (2)";;;;;;;;;;;;;;;;;;;;;;;;;6;6;
1008052;"Ksawerów (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;2;
1008063;"Lutomiersk (3)";;;;;;;;;;;;;;;;;;;;;;;;;2;3;
1008072;"Pabianice (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;4;
1009000;"Powiat pajęczański";;;;;;;;;;;;;41;45;35;39;52;61;51;53;48;38;35;21;25;36;
1009013;"Działoszyn (3)";;;;;;;;;;;;;;;;;;;;;;;;;8;9;
1009022;"Kiełczygłów (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;3;
1009032;"Nowa Brzeźnica (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;6;
1009043;"Pajęczno (3)";;;;;;;;;;;;;;;;;;;;;;;;;6;11;
1009052;"Rząśnia (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;6;
1009062;"Siemkowice (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;0;
1009072;"Strzelce Wielkie (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;1;
1010000;"Powiat piotrkowski";;;;;;;;;;;;;138;108;96;104;135;221;194;186;192;131;120;88;81;77;
1010012;"Aleksandrów (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;2;
1010022;"Czarnocin (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;4;
1010032;"Gorzkowice (2)";;;;;;;;;;;;;;;;;;;;;;;;;5;5;
1010042;"Grabica (2)";;;;;;;;;;;;;;;;;;;;;;;;;8;7;
1010052;"Łęki Szlacheckie (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;0;
1010062;"Moszczenica (2)";;;;;;;;;;;;;;;;;;;;;;;;;6;5;
1010072;"Ręczno (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;6;
1010083;"Rozprza (3)";;;;;;;;;;;;;;;;;;;;;;;;;9;12;
1010093;"Sulejów (3)";;;;;;;;;;;;;;;;;;;;;;;;;15;16;
1010102;"Wola Krzysztoporska (2)";;;;;;;;;;;;;;;;;;;;;;;;;17;14;
1010113;"Wolbórz (3)";;;;;;;;;;;;;;;;;;;;;;;;;7;6;
1011000;"Powiat poddębicki";;;;;;;;;;;;;57;84;62;69;69;39;61;54;43;42;37;43;33;37;
1011012;"Dalików (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;5;
1011022;"Pęczniew (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;0;
1011033;"Poddębice (3)";;;;;;;;;;;;;;;;;;;;;;;;;8;16;
1011043;"Uniejów (3)";;;;;;;;;;;;;;;;;;;;;;;;;8;4;
1011052;"Wartkowice (2)";;;;;;;;;;;;;;;;;;;;;;;;;6;9;
1011062;"Zadzim (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;3;
1012000;"Powiat radomszczański";;;;;;;;;;;;;272;219;232;241;240;272;204;214;131;99;90;94;91;91;
1012011;"Radomsko (1)";;;;;;;;;;;;;;;;;;;;;;;;;34;38;
1012022;"Dobryszyce (2)";;;;;;;;;;;;;;;;;;;;;;;;;5;6;
1012032;"Gidle (2)";;;;;;;;;;;;;;;;;;;;;;;;;6;1;
1012042;"Gomunice (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;2;
1012053;"Kamieńsk (3)";;;;;;;;;;;;;;;;;;;;;;;;;12;5;
1012062;"Kobiele Wielkie (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;5;
1012072;"Kodrąb (2)";;;;;;;;;;;;;;;;;;;;;;;;;6;5;
1012082;"Lgota Wielka (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;2;
1012092;"Ładzice (2)";;;;;;;;;;;;;;;;;;;;;;;;;5;5;
1012102;"Masłowice (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;4;
1012113;"Przedbórz (3)";;;;;;;;;;;;;;;;;;;;;;;;;3;6;
1012122;"Radomsko (2)";;;;;;;;;;;;;;;;;;;;;;;;;6;10;
1012132;"Wielgomłyny (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;1;
1012142;"Żytno (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;1;
1013000;"Powiat rawski";;;;;;;;;;;;;94;82;70;77;96;77;72;58;63;41;41;38;45;43;
1013011;"Rawa Mazowiecka (1)";;;;;;;;;;;;;;;;;;;;;;;;;17;16;
1013023;"Biała Rawska (3)";;;;;;;;;;;;;;;;;;;;;;;;;11;11;
1013032;"Cielądz (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;2;
1013042;"Rawa Mazowiecka (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;12;
1013052;"Regnów (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;0;
1013062;"Sadkowice (2)";;;;;;;;;;;;;;;;;;;;;;;;;10;2;
1014000;"Powiat sieradzki";;;;;;;;;;;;;81;85;86;94;79;70;68;65;63;53;50;48;41;38;
1014011;"Sieradz (1)";;;;;;;;;;;;;;;;;;;;;;;;;19;10;
1014023;"Błaszki (3)";;;;;;;;;;;;;;;;;;;;;;;;;5;11;
1014032;"Brąszewice (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;2;
1014042;"Brzeźnio (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;1;
1014052;"Burzenin (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;0;
1014062;"Goszczanów (2)";;;;;;;;;;;;;;;;;;;;;;;;;0;1;
1014072;"Klonowa (2)";;;;;;;;;;;;;;;;;;;;;;;;;0;1;
1014082;"Sieradz (2)";;;;;;;;;;;;;;;;;;;;;;;;;7;2;
1014093;"Warta (3)";;;;;;;;;;;;;;;;;;;;;;;;;0;6;
1014102;"Wróblew (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;3;
1014113;"Złoczew (3)";;;;;;;;;;;;;;;;;;;;;;;;;4;1;
1015000;"Powiat skierniewicki";;;;;;;;;;;;;51;58;65;76;72;78;48;52;58;38;28;37;21;26;
1015013;"Bolimów (3)";;;;;;;;;;;;;;;;;;;;;;;;;4;9;
1015022;"Głuchów (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;2;
1015032;"Godzianów (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;1;
1015042;"Kowiesy (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;1;
1015052;"Lipce Reymontowskie (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;1;
1015062;"Maków (2)";;;;;;;;;;;;;;;;;;;;;;;;;0;1;
